DNG,복합상업지,혼합지역,기타지역,주거공업지,공원,주택상업지,저밀주거지역,고밀주거지역,공업중심지역,수계,산,일반상업지,학교시설,오피스가,중밀주거지역,주택오피스가
가양2동,1,0,1,0,4,2,0,49,0,2,0,3,3,1,0,1
등촌1동,10,2,1,1,1,9,0,46,0,1,0,15,1,7,20,4
등촌3동,11,0,3,0,6,2,0,102,1,0,0,8,8,8,1,1
화곡2동,0,1,0,0,0,8,0,11,0,0,0,4,1,4,83,4
방화2동,9,3,8,0,0,21,0,40,1,0,2,4,3,5,82,13
공항동,7,1,8,1,1,14,0,20,0,1,0,11,5,1,97,4
발산1동,2,3,18,0,5,11,0,144,0,1,1,14,8,3,41,5
등촌2동,5,1,3,0,5,9,0,43,1,1,2,3,6,3,78,4
화곡6동,11,4,4,0,6,9,0,52,0,0,3,7,3,6,83,8
방화1동,9,6,8,0,2,24,1,103,0,3,0,12,5,5,50,13
가양3동,0,0,1,0,3,6,0,51,2,1,0,3,4,2,0,0
염창동,7,0,7,0,1,12,0,153,3,2,0,23,5,13,19,3
화곡1동,15,7,1,0,1,39,0,92,0,1,0,14,3,3,153,14
가양1동,8,0,23,0,5,10,0,95,5,4,0,12,4,14,11,1
방화3동,1,1,4,0,9,5,0,71,0,1,2,7,5,2,17,0
화곡본동,4,5,3,0,3,17,0,17,0,0,0,4,2,2,142,5
화곡4동,5,5,1,0,1,21,0,16,0,0,2,3,3,0,79,2
화곡3동,5,0,0,0,1,9,0,70,0,0,0,3,0,3,42,5
우장산동,10,2,7,0,23,8,0,153,0,0,0,12,3,2,74,4
화곡8동,1,4,3,0,3,5,0,11,0,0,0,5,0,0,109,0
