동,10-60세_생활,10-60세_주민,승하차수,단독주택,다가구주택,아파트,연립주택,다세대주택,학교시설,오피스가,주택상업지,주택오피스가,복합상업지,중고거래횟수
가양1동,0.9999999999999999,0.6709040984440151,0.16527829912035413,0.04142011834319526,0.05054151624548737,0.49386052977063855,0.5187861271676301,0.0640726096333573,0.5,1.0,0.21621621621621623,0.07142857142857142,0.5333333333333333,0.3779333058871964
가양2동,0.06019541159815192,0.0,0.0,0.0,0.0,0.5208124179473318,0.0,0.0,0.375,0.07142857142857142,0.0,0.07142857142857142,0.06666666666666667,0.15067929188966653
가양3동,0.0,0.05051018678599273,0.0,0.0,0.0,0.5495405050583057,0.0,0.0,0.5,0.14285714285714285,0.10810810810810811,0.0,0.0,0.0041169205434335165
공항동,0.5524884205209409,0.4525577138208074,0.35350735510785986,0.4497041420118343,0.9891696750902528,0.20897366592014827,0.19219653179190752,0.29825664989216394,0.625,0.07142857142857142,0.32432432432432434,0.2857142857142857,0.4666666666666667,0.4722107863318238
등촌1동,0.3400573716000991,0.3805891725143225,0.12368881492956679,0.047337278106508875,0.13116726835138387,0.33168584446675414,0.20664739884393063,0.12419122933141626,0.125,0.5,0.1891891891891892,0.2857142857142857,0.6666666666666666,0.3524083985179086
등촌2동,0.12386901615194931,0.22366859893555713,0.0,0.17751479289940827,0.42358604091456076,0.18372075063711482,0.6820809248554913,0.29574047447879226,0.75,0.21428571428571427,0.1891891891891892,0.2857142857142857,0.3333333333333333,0.0
등촌3동,0.6785289672236047,0.38933523170276957,0.3510990580783102,0.0,0.0,0.9999999999999999,0.0,0.01896117900790798,1.0,0.5714285714285714,0.0,0.07142857142857142,0.7333333333333333,0.23631123919308358
발산1동,0.5429380798713931,0.6254449303366216,0.6018020044823914,0.023668639053254437,0.2214199759326113,0.6799752876670012,0.6791907514450867,0.21468368080517614,1.0,0.21428571428571427,0.24324324324324326,0.3571428571428571,0.13333333333333333,1.0
방화1동,0.486960801050766,0.7270076951761075,0.11861627053461422,0.3313609467455621,0.7557160048134778,0.7480114294540118,0.20809248554913293,0.22456865564342202,0.625,0.3571428571428571,0.5945945945945946,0.9285714285714285,0.6,0.8044462741869082
방화2동,0.2980741389204823,0.25651717007356184,0.6823937551378566,1.0,0.8868832731648616,0.27677812958529613,0.28323699421965315,0.1874550682961898,0.375,0.3571428571428571,0.5135135135135135,0.9285714285714285,0.6,0.08604363935776041
방화3동,0.12292726461010448,0.2177022949930506,0.1144542246273946,0.0,0.11311672683513839,0.662831106649162,0.13005780346820808,0.04996405463695183,0.625,0.14285714285714285,0.08108108108108109,0.0,0.06666666666666667,0.17826265953067108
염창동,0.5111026518026434,0.7812129224719482,0.0,0.026627218934911243,0.051744885679903735,0.8914974129276391,0.31213872832369943,0.09121135873472322,0.625,0.9285714285714285,0.2702702702702703,0.21428571428571427,0.4666666666666667,0.6121860848085632
우장산동,0.5318249681880198,0.7819587104647614,0.0,0.07988165680473372,0.3561973525872443,0.7097845393466676,0.4682080924855491,0.2731847591660676,0.375,0.14285714285714285,0.16216216216216217,0.2857142857142857,0.6666666666666666,0.329353643474681
화곡1동,0.8594084300308472,0.9999999999999998,1.0,0.34911242603550297,1.0,0.43617267742682825,0.30780346820809246,1.0,0.375,0.21428571428571427,1.0,1.0,1.0,0.7953890489913545
화곡2동,0.053771279838090685,0.16570053222143122,0.0,0.15976331360946744,0.5872442839951866,0.0,0.13872832369942195,0.44302659956865564,0.125,0.2857142857142857,0.16216216216216217,0.2857142857142857,0.0,0.1786743515850144
화곡3동,0.1969870577191243,0.23197396521915992,0.0,0.07100591715976332,0.4452466907340554,0.24133137694030424,0.15606936416184972,0.23184759166067578,0.0,0.21428571428571427,0.1891891891891892,0.3571428571428571,0.3333333333333333,0.34417455743104164
화곡4동,0.1380973159638135,0.21007491779382348,0.0,0.17751479289940827,0.7063778580024067,0.027492470461039458,0.25867052023121384,0.4735801581595974,0.375,0.0,0.5135135135135135,0.14285714285714285,0.3333333333333333,0.11897900370522849
화곡6동,0.23915495485857582,0.34523204176412753,0.0,0.1301775147928994,0.4705174488567991,0.21461116688547377,1.0,0.3271926671459382,0.375,0.42857142857142855,0.1891891891891892,0.5714285714285714,0.7333333333333333,0.22848909016055993
화곡8동,0.4107497986103549,0.3128919624394047,0.0,0.21005917159763313,0.5391095066185319,0.030581512085875357,0.4754335260115607,0.6535765636232926,0.0,0.0,0.08108108108108109,0.0,0.06666666666666667,0.5117332235487856
화곡본동,0.4315189970991895,0.586867351435642,0.0,0.35502958579881655,0.5487364620938628,0.056066105490771484,0.9104046242774566,0.9078900071890726,0.25,0.14285714285714285,0.40540540540540543,0.3571428571428571,0.26666666666666666,0.6644709757101688
